document_id,chunk_id,chunks,categoria,origem,titulo,versao,nivel_confianca,tipo,path_arquivo
PDF_001,1,"FICHA TÉCNICA - RESTAURANTE
Baião-de-Dois
CATEGORIA
Tradicionais
CHEF RESPONSÁVEL
Rodrigo Oliveira e equipe
DESCRIÇÃO
Preparação nordestina clássica que une arroz e feijão-de-corda com carnes curadas e queijo-de-coalho.
INGREDIENTES
Arroz branco, feijão-de-corda cozido, carne-seca dessalgada, linguiça artesanal, bacon, queijo-de-coalho,
cebola, alho, manteiga-de-garrafa.
MODO DE PREPARO
A carne-seca é dessalgada e cozida até macia, depois desfiada. Bacon e linguiça são dourados
lentamente para liberar gordura e sabor. Cebola e alho entram para refogar até ficarem translúcidos. A
carne-seca é incorporada, seguida do feijão já cozido. O arroz entra por último, sendo misturado com
cuidado para não quebrar os grãos. Finaliza-se com manteiga-de-garrafa e, fora do fogo, o
queijo-de-coalho, que d",Tradicionais,Ficha técnica oficial,Baiao-de-Dois,v1.0,alto,pdf,fichas_tecnicas/ficha_01_baiao_de_dois.pdf
PDF_001,2,"ntra por último, sendo misturado com
cuidado para não quebrar os grãos. Finaliza-se com manteiga-de-garrafa e, fora do fogo, o
queijo-de-coalho, que derrete parcialmente.
TEMPO MÉDIO DE PREPARO
45 minutos
RESTRIÇÕES ALIMENTARES
Contém lactose | Sem glúten
SUGESTÃO DE EMPRATAMENTO
Travessa de barro, queijo aparente
HARMONIZAÇÃO
Cerveja pilsen ou suco de caju
CUSTO MÉDIO
R$ 40–45
Versão: 1.0 | Data: 10/09/2025
Página 1",Tradicionais,Ficha técnica oficial,Baiao-de-Dois,v1.0,alto,pdf,fichas_tecnicas/ficha_01_baiao_de_dois.pdf
PDF_002,1,"FICHA TÉCNICA - RESTAURANTE
Favada
CATEGORIA
Tradicionais
CHEF RESPONSÁVEL
Rodrigo Oliveira e equipe
DESCRIÇÃO
Fava amarela cozida lentamente com carnes curadas, prato robusto e encorpado.
INGREDIENTES
Fava amarela seca, carne-seca, linguiça artesanal, bacon, cebola, alho, louro, pimenta-do-reino.
MODO DE PREPARO
A fava é demolhada por pelo menos 12 horas. Após isso, é cozida até ficar macia, porém inteira. Em
outra panela, bacon e linguiça são dourados lentamente. Acrescenta-se cebola, alho e louro. A
carne-seca cozida e desfiada entra na sequência. A fava é incorporada e o conjunto cozinha em fogo
baixo até o caldo encorpar.
TEMPO MÉDIO DE PREPARO
1h30
RESTRIÇÕES ALIMENTARES
Sem glúten
SUGESTÃO DE EMPRATAMENTO
Cumbuca funda
HARMONIZAÇÃO
Cerveja escura
CUSTO MÉDIO
R$ 45–50
Versão: v1.0 |",Tradicionais,Ficha técnica oficial,Favada,v1.0,alto,pdf,fichas_tecnicas/ficha_02_favada.pdf
PDF_002,2,"PREPARO
1h30
RESTRIÇÕES ALIMENTARES
Sem glúten
SUGESTÃO DE EMPRATAMENTO
Cumbuca funda
HARMONIZAÇÃO
Cerveja escura
CUSTO MÉDIO
R$ 45–50
Versão: v1.0 | Data: 18/04/2025
Página 1",Tradicionais,Ficha técnica oficial,Favada,v1.0,alto,pdf,fichas_tecnicas/ficha_02_favada.pdf
PDF_003,1,"FICHA TÉCNICA - RESTAURANTE
Feijão-de-Corda
CATEGORIA
Tradicionais
CHEF RESPONSÁVEL
Rodrigo Oliveira e equipe
DESCRIÇÃO
Feijão nordestino preparado com legumes frescos.
INGREDIENTES
Feijão-de-corda, maxixe, chuchu, abóbora, quiabo, cebola, alho, azeite.
MODO DE PREPARO
O feijão é cozido até ficar macio. Em panela larga, refoga-se cebola e alho no azeite. Os legumes entram
respeitando o tempo de cocção: abóbora, chuchu, maxixe e quiabo. O feijão é incorporado ao final,
ajustando sal e caldo.
TEMPO MÉDIO DE PREPARO
50 minutos
RESTRIÇÕES ALIMENTARES
Vegano | Sem glúten
SUGESTÃO DE EMPRATAMENTO
Prato fundo
HARMONIZAÇÃO
Suco de limão
CUSTO MÉDIO
R$ 30
Versão: v1.0 | Data: 05/12/2025
Página 1",Tradicionais,Ficha técnica oficial,Feijao-de-Corda,v1.0,alto,pdf,fichas_tecnicas/ficha_03_feijao_de_corda.pdf
PDF_004,1,"FICHA TÉCNICA - RESTAURANTE
Sarapatel
CATEGORIA
Tradicionais
CHEF RESPONSÁVEL
Rodrigo Oliveira e equipe
DESCRIÇÃO
Miúdos suínos preparados à moda tradicional nordestina.
INGREDIENTES
Miúdos de porco, vinagre, cebola, alho, cominho, pimenta-do-reino, louro.
MODO DE PREPARO
Os miúdos são rigorosamente limpos e fervidos para retirada de impurezas. Após isso, são picados. Em
panela, refoga-se cebola, alho e especiarias. Os miúdos entram e cozinham lentamente até ficarem
macios e com caldo espesso.
TEMPO MÉDIO DE PREPARO
1h40
RESTRIÇÕES ALIMENTARES
Sem glúten | Contém carne suína
SUGESTÃO DE EMPRATAMENTO
Cumbuca rústica
HARMONIZAÇÃO
Cachaça branca
CUSTO MÉDIO
R$ 35–40
Versão: v1.0 | Data: 22/09/2025
Página 1",Tradicionais,Ficha técnica oficial,Sarapatel,v1.0,alto,pdf,fichas_tecnicas/ficha_04_sarapatel.pdf
PDF_005,1,"FICHA TÉCNICA - RESTAURANTE
Caldo de Mocotó
CATEGORIA
Tradicionais
CHEF RESPONSÁVEL
Rodrigo Oliveira e equipe
DESCRIÇÃO
Caldo denso e nutritivo, cozido por longas horas.
INGREDIENTES
Mocotó bovino, cebola, alho, sal, cheiro-verde.
MODO DE PREPARO
O mocotó é limpo e cozido por 6 a 8 horas até liberar colágeno. O caldo é coado, a carne é desfiada e
retorna à panela. Ajusta-se o tempero e finaliza-se com cheiro-verde.
TEMPO MÉDIO DE PREPARO
Até 8 horas
RESTRIÇÕES ALIMENTARES
Sem glúten
SUGESTÃO DE EMPRATAMENTO
Tigela funda
HARMONIZAÇÃO
Pão rústico
CUSTO MÉDIO
R$ 35–40
Versão: versão 1 | Data: 07/10/2025
Página 1",Tradicionais,Ficha técnica oficial,Caldo de Mocoto,v1.0,alto,pdf,fichas_tecnicas/ficha_05_caldo_de_mocoto.pdf
PDF_006,1,"FICHA TÉCNICA - RESTAURANTE
Mocofava
CATEGORIA
Especialidades
CHEF RESPONSÁVEL
Rodrigo Oliveira e equipe
DESCRIÇÃO
União do caldo de mocotó com a favada.
INGREDIENTES
Caldo de mocotó, fava cozida, carne-seca, linguiça.
MODO DE PREPARO
O caldo de mocotó é aquecido. A favada pronta é incorporada e o conjunto cozinha lentamente até os
sabores se integrarem completamente.
TEMPO MÉDIO DE PREPARO
1 hora
RESTRIÇÕES ALIMENTARES
Sem glúten
SUGESTÃO DE EMPRATAMENTO
Prato fundo
HARMONIZAÇÃO
Cerveja lager
CUSTO MÉDIO
R$ 40–45
Versão: v1.0 | Data: 25/07/2025
Página 1",Especialidades,Ficha técnica oficial,Mocofava,v1.0,alto,pdf,fichas_tecnicas/ficha_06_mocofava.pdf
PDF_007,1,"FICHA TÉCNICA - RESTAURANTE
Moqueca Sertaneja
CATEGORIA
Especialidades
CHEF RESPONSÁVEL
Rodrigo Oliveira e equipe
DESCRIÇÃO
Moqueca vegetal com frutas e legumes do sertão.
INGREDIENTES
Caju, banana-da-terra, abóbora, maxixe, cebola, alho, tomate, leite de coco, azeite.
MODO DE PREPARO
Cebola e alho são refogados no azeite. Tomate forma a base. Abóbora entra primeiro, seguida de caju,
banana e maxixe. O leite de coco é adicionado e a cocção é suave para manter a textura dos
ingredientes.
TEMPO MÉDIO DE PREPARO
40 minutos
RESTRIÇÕES ALIMENTARES
Vegano | Sem glúten
SUGESTÃO DE EMPRATAMENTO
Panela de barro
HARMONIZAÇÃO
Suco de maracujá
CUSTO MÉDIO
R$ 32–38
Versão: v1.0 | Data: 13/04/2025
Página 1",Especialidades,Ficha técnica oficial,Moqueca Sertaneja,v1.0,alto,pdf,fichas_tecnicas/ficha_07_moqueca_sertaneja.pdf
PDF_008,1,"FICHA TÉCNICA - RESTAURANTE
Carne-de-Sol na Brasa
CATEGORIA
Especialidades
CHEF RESPONSÁVEL
Rodrigo Oliveira e equipe
DESCRIÇÃO
Carne-de-sol grelhada e finalizada com manteiga-de-garrafa.
INGREDIENTES
Carne-de-sol, manteiga-de-garrafa, alho, pimenta biquinho.
MODO DE PREPARO
A carne é dessalgada, seca e grelhada em brasa alta para selar. Após grelhar, é fatiada e finalizada com
manteiga-de-garrafa quente e alho assado.
TEMPO MÉDIO DE PREPARO
45 minutos
RESTRIÇÕES ALIMENTARES
Sem glúten
SUGESTÃO DE EMPRATAMENTO
Carne fatiada em tábua
HARMONIZAÇÃO
Cerveja lager
CUSTO MÉDIO
R$ 55–65
Versão: v1.0 | Data: 22/10/2025
Página 1",Especialidades,Ficha técnica oficial,Carne-de-Sol na Brasa,v1.0,alto,pdf,fichas_tecnicas/ficha_08_carne_de_sol_na_brasa.pdf
